iter	MAE
0	0.8102215429
1	0.8033851637
2	0.7966934243
3	0.7898669435
4	0.7831104694
5	0.7765006195
6	0.7700667565
7	0.7637573864
8	0.7574940445
9	0.7512217824
10	0.7449967922
11	0.7387936272
12	0.7330104075
13	0.727002806
14	0.7211238726
15	0.7152804845
16	0.7095025649
17	0.7038233928
18	0.6982455813
19	0.6927223068
20	0.6872394864
21	0.6818079291
22	0.6764250943
23	0.6709963332
24	0.6657489839
25	0.6604883367
26	0.6553076118
27	0.650116714
28	0.6449368304
29	0.6398119171
30	0.6348881347
31	0.62991258
32	0.6250853143
33	0.6202325679
34	0.6154111222
35	0.6108601754
36	0.6062993658
37	0.601684591
38	0.5972606661
39	0.5927542197
40	0.588250246
41	0.5839056024
42	0.5796284908
43	0.5753382301
44	0.5711404062
45	0.5668835764
46	0.562758803
47	0.5587126365
48	0.5547528168
49	0.5507472414
50	0.5468006304
51	0.5428752274
52	0.5390450763
53	0.535210552
54	0.5313765213
55	0.5276624664
56	0.5239752113
57	0.5204116474
58	0.5167646414
59	0.5132594889
60	0.5097033849
61	0.5062866864
62	0.5028856121
63	0.4996053678
64	0.4962820755
65	0.4929302784
66	0.4897219764
67	0.4866362605
68	0.4833589254
69	0.4802795064
70	0.477069075
71	0.4738855702
72	0.4707952188
73	0.4678096265
74	0.4647523228
75	0.4618590189
76	0.4588952599
77	0.4559366754
78	0.4531591613
79	0.4502993845
80	0.4475108777
81	0.4447408364
82	0.4420125536
83	0.4393010773
84	0.4365956375
85	0.4339512077
86	0.4313979356
87	0.4288111453
88	0.4264103381
89	0.4238446441
90	0.4213666339
91	0.4188740382
92	0.4165317536
93	0.4140744232
94	0.411709608
95	0.409335908
96	0.4069791427
97	0.4046459837
98	0.4024938107
99	0.4002439432
100	0.3979541246
101	0.3957058171
102	0.3935594442
103	0.3915375437
104	0.3894992781
105	0.3873884081
106	0.3853399906
107	0.3833043898
108	0.3813766625
109	0.379418695
110	0.3775188048
111	0.3756268785
112	0.3737331638
113	0.3719087853
114	0.3701054089
115	0.3682615342
116	0.3663926741
117	0.3646148453
118	0.3628603304
119	0.3611995657
120	0.3595131165
121	0.3577772849
122	0.3560827906
123	0.3544504301
124	0.3528462355
125	0.3513691393
126	0.3497430345
127	0.3481712247
128	0.3466794654
129	0.3450986879
130	0.34357222
131	0.3420564485
132	0.3405021991
133	0.3390297442
134	0.3375366552
135	0.3361482342
136	0.3346828735
137	0.3332722504
138	0.3319938588
139	0.3306690151
140	0.3293248357
141	0.3280876796
142	0.3267700819
143	0.3254698929
144	0.3241275058
145	0.3228152883
146	0.3216230449
147	0.3203713062
148	0.3191592608
149	0.3179848835
150	0.3167796697
151	0.3156283617
152	0.3144530647
153	0.3133477158
154	0.3122048682
155	0.3110418942
156	0.3099409682
157	0.3088314763
158	0.3077014708
159	0.3066687426
160	0.305628046
161	0.3045725989
162	0.303558769
163	0.3025760399
164	0.3015622208
165	0.3004944188
166	0.2995123177
167	0.2985505388
168	0.2976303298
169	0.2966990897
