iter	Passed	Remaining
0	186	372574
1	210	210465
2	234	156252
3	270	135043
4	301	120325
5	324	107905
6	347	98862
7	370	92292
8	392	86927
9	416	82789
10	440	79575
11	462	76604
12	483	73915
13	503	71469
14	525	69488
15	546	67807
16	567	66177
17	589	64866
18	610	63679
19	633	62723
20	655	61792
21	677	60953
22	698	60022
23	720	59324
24	743	58704
25	764	58072
26	787	57562
27	810	57111
28	831	56504
29	852	56007
30	874	55570
31	894	55040
32	917	54705
33	940	54406
34	963	54069
35	985	53763
36	1007	53463
37	1029	53155
38	1051	52863
39	1074	52637
40	1096	52386
41	1118	52151
42	1153	52518
43	1185	52702
44	1209	52558
45	1233	52400
46	1254	52140
47	1276	51929
48	1301	51804
49	1324	51647
50	1345	51437
51	1369	51289
52	1391	51129
53	1415	50995
54	1443	51033
55	1465	50880
56	1488	50731
57	1511	50603
58	1534	50480
59	1557	50374
60	1581	50256
61	1603	50119
62	1626	50011
63	1647	49836
64	1671	49762
65	1692	49607
66	1715	49488
67	1738	49395
68	1761	49285
69	1783	49184
70	1806	49090
71	1829	48991
72	1852	48898
73	1875	48811
74	1897	48694
75	1918	48576
76	1940	48470
77	1963	48385
78	1986	48295
79	2008	48209
80	2031	48120
81	2054	48050
82	2076	47968
83	2098	47874
84	2119	47752
85	2142	47676
86	2164	47597
87	2185	47492
88	2206	47386
89	2227	47274
90	2248	47170
91	2269	47073
92	2290	46969
93	2313	46901
94	2334	46808
95	2354	46707
96	2375	46605
97	2405	46682
98	2440	46872
99	2464	46821
100	2486	46742
101	2507	46654
102	2529	46579
103	2550	46493
104	2570	46395
105	2591	46304
106	2611	46206
107	2633	46134
108	2654	46049
109	2675	45964
110	2695	45880
111	2717	45806
112	2739	45744
113	2760	45671
114	2781	45598
115	2802	45519
116	2824	45450
117	2844	45372
118	2865	45299
119	2887	45231
120	2907	45154
121	2929	45089
122	2950	45029
123	2972	44965
124	2993	44897
125	3008	44738
126	3029	44675
127	3049	44602
128	3070	44540
129	3092	44478
130	3113	44417
131	3134	44353
132	3155	44297
133	3176	44236
134	3197	44169
135	3234	44337
136	3256	44280
137	3278	44230
138	3299	44177
139	3320	44116
140	3341	44053
141	3363	44005
142	3384	43946
143	3416	44038
144	3447	44098
145	3469	44052
146	3490	43998
147	3511	43943
148	3532	43880
149	3553	43826
150	3574	43772
151	3595	43716
152	3617	43665
153	3637	43605
154	3659	43563
155	3680	43505
156	3701	43448
157	3722	43393
158	3743	43347
159	3765	43301
160	3786	43251
161	3807	43196
162	3828	43146
163	3849	43091
164	3870	43040
165	3891	42992
166	3913	42951
167	3935	42913
168	3956	42866
169	3978	42830
170	3999	42783
171	4020	42733
172	4041	42682
173	4062	42630
174	4083	42580
175	4104	42532
176	4124	42481
177	4145	42436
178	4166	42391
179	4188	42353
180	4209	42303
181	4230	42254
182	4251	42209
183	4272	42165
184	4293	42127
185	4315	42085
186	4335	42037
187	4357	41995
188	4384	42014
189	4418	42091
190	4440	42057
191	4462	42017
192	4483	41973
193	4503	41926
194	4524	41884
195	4555	41929
196	4576	41885
197	4598	41852
198	4620	41812
199	4640	41768
200	4662	41726
201	4682	41681
202	4704	41641
203	4725	41599
204	4746	41564
205	4767	41521
206	4788	41480
207	4810	41446
208	4831	41406
209	4853	41372
210	4874	41331
211	4896	41292
212	4916	41251
213	4937	41210
214	4958	41166
215	4979	41130
216	5000	41086
217	5021	41047
218	5042	41011
219	5065	40982
220	5086	40944
221	5107	40907
222	5128	40866
223	5137	40735
224	5158	40696
225	5179	40657
226	5201	40623
227	5223	40594
228	5244	40555
229	5264	40516
230	5285	40479
231	5306	40442
232	5327	40405
233	5349	40371
234	5384	40442
235	5411	40447
236	5434	40428
237	5455	40391
238	5477	40356
239	5498	40318
240	5519	40286
241	5540	40247
242	5561	40208
243	5581	40170
244	5602	40131
245	5625	40110
246	5647	40077
247	5667	40041
248	5688	40004
249	5709	39969
250	5730	39932
251	5751	39898
252	5774	39872
253	5795	39838
254	5816	39803
255	5837	39769
256	5858	39735
257	5880	39706
258	5902	39677
259	5923	39642
260	5944	39610
261	5966	39579
262	5991	39574
263	6015	39558
264	6040	39548
265	6063	39529
266	6086	39502
267	6108	39474
268	6129	39445
269	6150	39411
270	6171	39376
271	6193	39350
272	6215	39319
273	6237	39290
274	6259	39261
275	6281	39238
276	6305	39220
277	6326	39186
278	6352	39183
279	6390	39258
280	6414	39240
281	6435	39206
282	6456	39174
283	6478	39141
284	6500	39114
285	6521	39081
286	6541	39045
287	6563	39013
288	6584	38982
289	6606	38952
290	6627	38924
291	6650	38901
292	6671	38867
293	6693	38840
294	6715	38813
295	6736	38778
296	6757	38747
297	6778	38715
298	6800	38687
299	6822	38658
300	6843	38627
301	6864	38597
302	6885	38565
303	6906	38530
304	6928	38506
305	6949	38473
306	6971	38442
307	6991	38409
308	7012	38377
309	7035	38352
310	7057	38326
311	7078	38298
312	7100	38269
313	7120	38235
314	7142	38207
315	7163	38176
316	7185	38146
317	7206	38115
318	7227	38086
319	7248	38056
320	7269	38025
321	7290	37994
322	7311	37963
323	7333	37934
324	7365	37960
325	7396	37978
326	7418	37956
327	7440	37930
328	7461	37899
329	7482	37866
330	7503	37834
331	7525	37807
332	7547	37781
333	7568	37751
334	7590	37724
335	7611	37692
336	7632	37662
337	7654	37637
338	7675	37605
339	7696	37576
340	7718	37550
341	7744	37544
342	7765	37515
343	7787	37488
344	7808	37456
345	7829	37426
346	7850	37396
347	7872	37370
348	7893	37340
349	7915	37314
350	7936	37285
351	7958	37260
352	7979	37232
353	8001	37203
354	8021	37172
355	8043	37142
356	8063	37112
357	8085	37084
358	8107	37059
359	8129	37032
360	8150	37004
361	8171	36975
362	8192	36946
363	8213	36917
364	8234	36887
365	8255	36855
366	8276	36828
367	8297	36799
368	8318	36770
369	8346	36768
370	8378	36789
371	8403	36777
372	8425	36751
373	8446	36723
374	8469	36702
375	8491	36675
376	8512	36647
377	8533	36619
378	8554	36588
379	8576	36563
380	8605	36567
381	8626	36537
382	8647	36509
383	8668	36480
384	8690	36453
385	8711	36424
386	8732	36398
387	8754	36371
388	8775	36341
389	8797	36318
390	8818	36290
391	8840	36262
392	8862	36239
393	8884	36215
394	8906	36190
395	8927	36161
396	8948	36133
397	8969	36104
398	8990	36076
399	9012	36049
400	9033	36021
401	9055	35996
402	9078	35977
403	9099	35948
404	9121	35924
405	9144	35901
406	9166	35878
407	9188	35853
408	9210	35827
409	9233	35807
410	9255	35781
411	9276	35756
412	9296	35724
413	9330	35744
414	9359	35746
415	9384	35733
416	9406	35710
417	9428	35682
418	9449	35655
419	9470	35626
420	9491	35597
421	9512	35570
422	9533	35543
423	9556	35520
424	9577	35494
425	9598	35466
426	9619	35438
427	9641	35410
428	9662	35385
429	9684	35360
430	9705	35332
431	9728	35309
432	9748	35279
433	9770	35253
434	9791	35228
435	9813	35201
436	9835	35176
437	9856	35150
438	9878	35127
439	9901	35103
440	9922	35076
441	9943	35049
442	9964	35021
443	9985	34994
444	10007	34969
445	10029	34945
446	10052	34923
447	10073	34896
448	10094	34871
449	10116	34845
450	10138	34820
451	10159	34794
452	10180	34767
453	10202	34742
454	10225	34721
455	10247	34697
456	10269	34673
457	10290	34646
458	10323	34658
459	10352	34658
460	10375	34637
461	10397	34614
462	10419	34588
463	10441	34563
464	10463	34541
465	10485	34517
466	10507	34492
467	10529	34467
468	10550	34441
469	10571	34413
470	10592	34385
471	10614	34363
472	10636	34338
473	10659	34315
474	10681	34292
475	10704	34271
476	10725	34245
477	10746	34219
478	10767	34191
479	10789	34167
480	10811	34142
481	10834	34120
482	10855	34094
483	10877	34069
484	10897	34042
485	10920	34019
486	10942	33997
487	10964	33971
488	10986	33948
489	11009	33926
490	11031	33902
491	11053	33877
492	11075	33854
493	11096	33828
494	11117	33802
495	11140	33780
496	11161	33755
497	11184	33731
498	11206	33708
499	11228	33684
500	11250	33662
501	11273	33639
502	11295	33618
503	11329	33627
504	11356	33619
505	11382	33608
506	11406	33589
507	11428	33564
508	11449	33539
509	11471	33515
510	11493	33491
511	11515	33467
512	11536	33440
513	11557	33414
514	11579	33390
515	11602	33367
516	11624	33345
517	11644	33315
518	11666	33291
519	11688	33268
520	11711	33246
521	11733	33222
522	11754	33195
523	11775	33169
524	11798	33148
525	11820	33124
526	11842	33099
527	11864	33077
528	11886	33053
529	11910	33035
530	11931	33009
531	11953	32983
532	11975	32959
533	11996	32934
534	12018	32909
535	12039	32884
536	12062	32862
537	12085	32841
538	12108	32819
539	12129	32793
540	12151	32770
541	12172	32743
542	12194	32721
543	12217	32698
544	12238	32674
545	12261	32653
546	12284	32631
547	12322	32649
548	12349	32638
549	12372	32618
550	12395	32596
551	12417	32572
552	12439	32550
553	12462	32527
554	12483	32502
555	12505	32479
556	12527	32454
557	12550	32432
558	12572	32410
559	12594	32386
560	12617	32364
561	12639	32339
562	12660	32313
563	12681	32287
564	12702	32262
565	12725	32239
566	12746	32214
567	12768	32190
568	12790	32166
569	12811	32141
570	12833	32117
571	12855	32093
572	12876	32068
573	12899	32047
574	12922	32024
575	12944	32001
576	12966	31978
577	12988	31954
578	13010	31929
579	13034	31912
580	13057	31891
581	13079	31868
582	13102	31845
583	13124	31821
584	13145	31796
585	13168	31774
586	13191	31754
587	13215	31734
588	13237	31712
589	13261	31692
590	13298	31704
591	13323	31689
592	13347	31669
593	13370	31647
594	13393	31626
595	13416	31604
596	13439	31583
597	13461	31559
598	13483	31535
599	13505	31513
600	13527	31489
601	13549	31466
602	13570	31439
603	13592	31416
604	13615	31394
605	13638	31372
606	13660	31349
607	13682	31325
608	13703	31300
609	13726	31277
610	13749	31257
611	13773	31236
612	13794	31212
613	13816	31189
614	13840	31168
615	13863	31148
616	13885	31124
617	13907	31099
618	13928	31075
619	13950	31051
620	13972	31027
621	13994	31004
622	14017	30983
623	14041	30963
624	14063	30940
625	14084	30914
626	14108	30894
627	14131	30873
628	14153	30850
629	14177	30830
630	14200	30809
631	14222	30786
632	14245	30763
633	14278	30763
634	14309	30759
635	14334	30742
636	14359	30724
637	14381	30702
638	14404	30680
639	14427	30658
640	14450	30636
641	14471	30611
642	14492	30585
643	14514	30561
644	14536	30538
645	14558	30515
646	14581	30492
647	14603	30468
648	14626	30446
649	14648	30424
650	14671	30402
651	14695	30382
652	14718	30360
653	14739	30336
654	14762	30314
655	14786	30293
656	14808	30271
657	14830	30247
658	14852	30223
659	14874	30200
660	14896	30176
661	14918	30152
662	14940	30129
663	14963	30106
664	14985	30083
665	15008	30062
666	15031	30039
667	15053	30017
668	15075	29993
669	15097	29969
670	15120	29948
671	15143	29925
672	15165	29902
673	15188	29880
674	15210	29858
675	15234	29837
676	15263	29827
677	15299	29831
678	15323	29811
679	15346	29790
680	15370	29769
681	15394	29750
682	15417	29729
683	15440	29707
684	15462	29684
685	15484	29660
686	15508	29640
687	15530	29615
688	15552	29592
689	15575	29570
690	15597	29547
691	15620	29525
692	15643	29504
693	15666	29482
694	15688	29457
